web_name,club,position
Wood,BUR,FWD
Woodburn,LIV,MID
Woodman,NEW,GKP
Xhaka,ARS,MID
Yacob,WBA,MID
Yaya Toure,MCI,MID
Yedlin,NEW,DEF
Yoshida,SOU,DEF
Young,MUN,MID
Zabaleta,WHU,DEF
Zaha,CRY,MID
Zanka,HUD,DEF
Zappacosta,CHE,DEF
Zeegelaar,WAT,DEF
Zinchenko,MCI,MID
Zouma,STK,DEF
Zarate,WAT,FWD
Ozil,ARS,MID
