element,name,position,was_home,played,minutes_per_gameweek,prev_game_minutes_1,prev_game_minutes_2,prev_game_minutes_3,prev_game_minutes_4,prev_game_minutes_5,minutes_form,points_per_game,form,ict_per_game,ict_form,opp_team_goals_scored_per_game,opp_team_xG_per_game,opp_team_goals_conceded_per_game,opp_team_xGA_per_game
64,David Brooks,MID,1,0,8.741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,1.7692307692307692,0.0,2.4153846153846152,0.0,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
200,David Datro Fofana,FWD,1,0,23.28125,60.0,90.0,0.0,87.0,90.0,50.0,4.4,4.2,5.17,4.42,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
721,David Ozoh,MID,0,0,5.92,0.0,20.0,0.0,0.0,0.0,6.666666666666667,0.8888888888888888,0.2,0.3222222222222222,0.06,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
113,David Raya Martin,GKP,1,0,72.58064516129032,90.0,90.0,90.0,0.0,90.0,90.0,4.16,4.6,1.3559999999999999,0.74,2.0625,1.71875,1.53125,1.509375
512,Davinson Sanchez,DEF,0,0,2.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
385,Dean Henderson,GKP,0,0,31.93548387096774,90.0,90.0,90.0,0.0,0.0,90.0,1.5454545454545454,1.4,2.590909090909091,1.8399999999999999,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
540,Declan Rice,MID,1,0,83.70967741935483,90.0,23.0,90.0,90.0,73.0,67.66666666666667,4.129032258064516,4.8,5.238709677419355,6.2,2.0625,1.71875,1.53125,1.509375
677,Deivid Washington de Souza Eugenio,FWD,1,0,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
501,Dejan Kulusevski,MID,0,0,73.80645161290323,14.0,20.0,45.0,90.0,90.0,26.333333333333332,3.6206896551724137,2.2,7.327586206896552,4.22,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
248,Dele Alli,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.9233333333333333,1.7333333333333334,1.4966666666666666
253,Demarai Gray,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.9233333333333333,1.7333333333333334,1.4966666666666666
169,Denis Franchi,GKP,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6451612903225807,1.525806451612903,1.5806451612903225,1.4709677419354839
149,Deniz Undav,FWD,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.990625,2.09375,1.75625
835,Dermot Mee,GKP,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
519,Destiny Udogie,DEF,0,0,74.2258064516129,90.0,90.0,90.0,90.0,90.0,90.0,2.925925925925926,2.6,4.229629629629629,2.88,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
780,Detlef Esapa Osong,FWD,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4193548387096775,1.3451612903225802,1.5806451612903225,1.6548387096774195
732,Devan Tanton,DEF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.625,1.409375,1.75,1.8031249999999999
41,Diego Carlos Santos Silva,DEF,0,0,44.71875,90.0,90.0,90.0,0.0,5.0,90.0,2.0952380952380953,1.2,2.0571428571428574,1.7600000000000002,2.4193548387096775,1.9838709677419353,0.7741935483870968,0.6838709677419356
681,Diego Manuel Jadon da Silva Moreira,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
377,Diogo Dalot Teixeira,DEF,0,0,82.06451612903226,90.0,90.0,90.0,90.0,90.0,90.0,3.0689655172413794,2.6,4.251724137931034,4.4799999999999995,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
294,Diogo Teixeira da Silva,MID,1,0,33.67741935483871,0.0,0.0,0.0,0.0,0.0,0.0,5.105263157894737,0.0,6.742105263157894,0.0,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
332,Dion Pereira,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
538,Divin Mubama,FWD,1,0,2.34375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15999999999999998,0.0,1.46875,1.35,1.59375,1.696875
714,Divock Origi,FWD,1,0,20.178571428571427,22.0,20.0,59.0,74.0,60.0,33.666666666666664,1.2777777777777777,1.4,1.35,1.94,1.4193548387096775,1.3451612903225802,1.5806451612903225,1.6548387096774195
517,Djed Spence,DEF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.096774193548387,1.8903225806451618,1.6774193548387097,1.7193548387096773
246,Dominic Calvert-Lewin,FWD,0,0,57.38709677419355,82.0,29.0,90.0,29.0,16.0,67.0,2.925925925925926,3.8,4.388888888888889,5.499999999999999,1.8333333333333333,1.9233333333333333,1.7333333333333334,1.4966666666666666
839,Dominic Dos Santos Martins,MID,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2903225806451615,2.029032258064516,1.0,0.964516129032258
811,Dominic Sadi,MID,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
85,Dominic Solanke,FWD,1,0,88.96774193548387,90.0,89.0,84.0,90.0,90.0,87.66666666666667,4.806451612903226,3.8,7.554838709677419,6.959999999999999,1.4516129032258065,1.4870967741935486,1.4838709677419355,1.8483870967741938
309,Dominik Szoboszlai,MID,1,0,63.225806451612904,65.0,72.0,90.0,60.0,14.0,75.66666666666667,3.5,1.8,5.3076923076923075,5.66,1.1612903225806452,1.1483870967741938,1.7419354838709677,1.4129032258064516
400,Donny van de Beek,MID,0,0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6,0.0,1.4516129032258065,1.4645161290322577,1.7741935483870968,1.535483870967742
687,Dorde Petrovic,GKP,1,0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2.6,1.4,2.68,1.8,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
43,Douglas Luiz Soares de Paulo,MID,0,0,83.15625,90.0,63.0,90.0,90.0,90.0,81.0,4.580645161290323,1.6,6.254838709677419,4.4399999999999995,2.4193548387096775,1.9838709677419353,0.7741935483870968,0.6838709677419356
827,Dovydas Sasnauskas,DEF,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40625,1.5750000000000002,1.8125,1.5125
259,Dwight McNeil,MID,0,0,73.64516129032258,90.0,90.0,90.0,90.0,90.0,90.0,3.3214285714285716,2.6,5.853571428571429,7.32,1.8333333333333333,1.9233333333333333,1.7333333333333334,1.4966666666666666
226,Eberechi Eze,MID,0,0,50.25806451612903,63.0,90.0,90.0,90.0,65.0,81.0,3.9523809523809526,3.6,7.476190476190476,6.0600000000000005,2.3225806451612905,2.283870967741935,0.967741935483871,1.170967741935484
680,Eddie Beach,GKP,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032258064516129,1.464516129032258,1.3548387096774193,1.4193548387096775
